MNO,RFNSA ID,Latitude,Longitude,New in 2023,3G,4G,5G,Co_funded,ABS_REMOTENESS
Optus,2000040,-33.86358255,151.2049311,N,Y,Y,N,N,Major Cities of Australia
Optus,2000043,-33.865872,151.212338,N,Y,Y,Y,N,Major Cities of Australia
Optus,2000044,-33.864864,151.206887,N,Y,Y,N,N,Major Cities of Australia
Optus,2000045,-33.86413,151.211396,N,Y,Y,Y,N,Major Cities of Australia
Optus,2000046,-33.86777,151.207733,N,Y,Y,N,N,Major Cities of Australia
Optus,2000047,-33.871788,151.206726,N,N,Y,Y,N,Major Cities of Australia
Optus,2000051,-33.872554,151.203727,N,Y,Y,N,N,Major Cities of Australia
Optus,2000052,-33.882559,151.206663,N,Y,Y,Y,N,Major Cities of Australia
Optus,2000053,-33.8766,151.209806,N,Y,Y,N,N,Major Cities of Australia
Optus,2000054,-33.870982,151.211798,N,Y,Y,Y,N,Major Cities of Australia
Optus,2000056,-33.873544,151.207201,N,Y,Y,N,N,Major Cities of Australia
Optus,2000057,-33.864034,151.205101,N,Y,Y,N,N,Major Cities of Australia
Optus,2000058,-33.86772,151.211654,N,Y,Y,N,N,Major Cities of Australia
Optus,2000059,-33.862764,151.211599,N,Y,Y,Y,N,Major Cities of Australia
Optus,2000060,-33.863753,151.2071,N,Y,Y,N,N,Major Cities of Australia
Optus,2000061,-33.867957,151.207259,N,N,Y,N,N,Major Cities of Australia
Optus,2000062,-33.872756,151.207609,N,Y,Y,N,N,Major Cities of Australia
Optus,2000072,-33.873118,151.199331,N,Y,Y,N,N,Major Cities of Australia
Optus,2000074,-33.866799,151.208311,N,Y,Y,N,N,Major Cities of Australia
Optus,2000077,-33.854583,151.209453,N,Y,Y,Y,N,Major Cities of Australia
Optus,2000078,-33.867995,151.217794,N,Y,Y,N,N,Major Cities of Australia
Optus,2000081,-33.866057,151.213984,N,Y,Y,N,N,Major Cities of Australia
Optus,2000082,-33.867636,151.210917,N,N,Y,N,N,Major Cities of Australia
Optus,2000083,-33.861681,151.2031,N,N,Y,Y,N,Major Cities of Australia
Optus,2000088,-33.862925,151.207004,N,Y,Y,Y,N,Major Cities of Australia
Optus,2000093,-33.868952,151.206757,N,N,Y,N,N,Major Cities of Australia
Optus,2000093,-33.868952,151.206757,N,N,Y,Y,N,Major Cities of Australia
Optus,2000093,-33.868957,151.206714,N,N,Y,N,N,Major Cities of Australia
Optus,2000102,-33.8621,151.21,N,Y,Y,Y,N,Major Cities of Australia
Optus,2000119,-33.878103,151.208964,N,Y,Y,N,N,Major Cities of Australia
Optus,2000136,-33.873243,151.199278,N,Y,Y,N,N,Major Cities of Australia
Optus,2000142,-33.862864,151.208118,N,Y,Y,Y,N,Major Cities of Australia
Optus,2000146,-33.866581,151.205206,N,Y,Y,N,N,Major Cities of Australia
Optus,2000151,-33.869827,151.201751,N,Y,Y,N,N,Major Cities of Australia
Optus,2000153,-33.880175,151.206362,N,Y,Y,N,N,Major Cities of Australia
Optus,2000153,-33.880392,151.206292,N,N,Y,N,N,Major Cities of Australia
Optus,2000156,-33.877428,151.206382,N,Y,Y,N,N,Major Cities of Australia
Optus,2000156,-33.87679,151.2064,N,N,Y,Y,N,Major Cities of Australia
Optus,2000156,-33.877553,151.206472,N,Y,Y,N,N,Major Cities of Australia
Optus,2000159,-33.873084,151.209843,N,Y,Y,N,N,Major Cities of Australia
Optus,2000163,-33.864632,151.209008,N,Y,Y,N,N,Major Cities of Australia
Optus,2000165,-33.8688,151.209113,N,Y,Y,N,N,Major Cities of Australia
Optus,2000165,-33.8688,151.209113,N,N,Y,Y,N,Major Cities of Australia
Optus,2000167,-33.866863,151.211649,N,N,Y,N,N,Major Cities of Australia
Optus,2000168,-33.857379,151.210299,N,Y,Y,N,N,Major Cities of Australia
Optus,2000169,-33.858754,151.213736,N,Y,Y,N,N,Major Cities of Australia
Optus,2000170,-33.870424,151.20812,N,Y,Y,Y,N,Major Cities of Australia
Optus,2000170,-33.870335,151.20748,N,Y,Y,Y,N,Major Cities of Australia
Optus,2000172,-33.871753,151.209773,N,Y,Y,N,N,Major Cities of Australia
Optus,2000173,-33.874713,151.203286,N,Y,Y,N,N,Major Cities of Australia
Optus,2000174,-33.87777898,151.2076178,N,Y,Y,Y,N,Major Cities of Australia
Optus,2000176,-33.876489,151.205753,N,Y,Y,N,N,Major Cities of Australia
Optus,2000177,-33.865967,151.202809,N,Y,Y,N,N,Major Cities of Australia
Optus,2000177,-33.865737,151.202837,N,Y,Y,N,N,Major Cities of Australia
Optus,2000181,-33.871606,151.204841,N,Y,Y,N,N,Major Cities of Australia
Optus,2000183,-33.870576,151.209036,N,Y,Y,Y,N,Major Cities of Australia
Optus,2000186,-33.877984,151.208329,N,N,Y,Y,N,Major Cities of Australia
Optus,2000190,-33.866295,151.203792,N,Y,Y,N,N,Major Cities of Australia
Optus,2000191,-33.869269,151.203893,N,N,Y,Y,N,Major Cities of Australia
Optus,2000203,-33.864072,151.208016,N,N,Y,N,N,Major Cities of Australia
Optus,2000209,-33.880007,151.203352,N,Y,Y,N,N,Major Cities of Australia
Optus,2000212,-33.876624,151.203378,N,Y,Y,N,N,Major Cities of Australia
Optus,2000220,-33.868422,151.204263,N,N,Y,Y,N,Major Cities of Australia
Optus,2000222,-33.865485,151.204564,N,Y,Y,N,N,Major Cities of Australia
Optus,2000224,-33.87264,151.203626,N,Y,Y,N,N,Major Cities of Australia
Optus,2000228,-33.864983,151.211881,N,Y,Y,Y,N,Major Cities of Australia
Optus,2000229,-33.86413,151.21139,N,Y,Y,Y,N,Major Cities of Australia
Optus,2000230,-33.864641,151.204386,N,Y,Y,N,N,Major Cities of Australia
Optus,2000231,-33.871422,151.208771,N,N,Y,N,N,Major Cities of Australia
Optus,2000233,-33.8675,151.2118,N,Y,Y,N,N,Major Cities of Australia
Optus,2000234,-33.866773,151.209548,N,Y,Y,N,N,Major Cities of Australia
Optus,2000236,-33.86454,151.209969,N,Y,Y,N,N,Major Cities of Australia
Optus,2000241,-33.867617,151.203915,N,Y,Y,N,N,Major Cities of Australia
Optus,2000242,-33.86502,151.207762,N,Y,Y,N,N,Major Cities of Australia
Optus,2000244,-33.87644,151.21245,N,Y,Y,Y,N,Major Cities of Australia
Optus,2000250,-33.871908,151.207922,N,N,Y,N,N,Major Cities of Australia
Optus,2000257,-33.869994,151.206581,N,N,Y,N,N,Major Cities of Australia
Optus,2000259,-33.876142,151.208165,N,Y,Y,N,N,Major Cities of Australia
Optus,2000263,-33.864327,151.21197,N,N,Y,N,N,Major Cities of Australia
Optus,2000268,-33.877738,151.207216,N,Y,Y,N,N,Major Cities of Australia
Optus,2000269,-33.84158,151.210752,N,Y,Y,N,N,Major Cities of Australia
Optus,2000273,-33.870843,151.209595,N,Y,Y,N,N,Major Cities of Australia
Optus,2000274,-33.870479,151.209012,N,N,Y,N,N,Major Cities of Australia
Optus,2000277,-33.875701,151.2093,N,Y,Y,Y,N,Major Cities of Australia
Optus,2000278,-33.864952,151.208555,N,Y,N,N,N,Major Cities of Australia
Optus,2000288,-33.873607,151.202352,N,Y,Y,N,N,Major Cities of Australia
Optus,2000290,-33.858922,151.206331,N,Y,Y,Y,N,Major Cities of Australia
Optus,2000293,-33.864599,151.212558,N,Y,Y,N,N,Major Cities of Australia
