Road,Suburb,Reason Code ,Effective Date ,
Wells Road,CHELSEA HEIGHTS,A,1 October 2024,
Dingley Bypass,CLARINDA,A,1 October 2024,
Dingley Bypass,CLARINDA,A,1 October 2024,
Ferntree Gully Road,CLAYTON,A,1 October 2024,
Wellington Road,CLAYTON,A,1 October 2024,
South Gippsland Highway,CLYDE,A,1 October 2024,
Goulburn Valley Highway,COBRAM,"A,C",1 October 2024,
Goulburn Valley Highway,COBRAM,"A,C",1 October 2024,
Goulburn Valley Highway,COBRAM,C,1 October 2024,
Goulburn Valley Highway,COBRAM,C,1 October 2024,
Maroondah Highway,COLDSTREAM,A,1 October 2024,
Maroondah Highway,COLDSTREAM,A,1 October 2024,
Maroondah Highway,COLDSTREAM,A,1 October 2024,
Pascoe Vale Road,COOLAROO,A,1 October 2024,
Purnell Road,CORIO,A,1 October 2024,
Bacchus Marsh Road,CORIO,A,1 October 2024,
Bacchus Marsh Road,CORIO,A,1 October 2024,
Bacchus Marsh Road,CORIO,A,1 October 2024,
South Gippsland Highway,DANDENONG SOUTH,A,1 October 2024,
Dingley Bypass,DINGLEY VILLAGE,A,1 October 2024,
Dingley Bypass,DINGLEY VILLAGE,A,1 October 2024,
Melba Highway,DIXONS CREEK,A,1 October 2024,
Melba Highway,DIXONS CREEK,A,1 October 2024,
Mornington Peninsula Freeway,DROMANA,A,1 October 2024,
Ryrie Street,EAST GEELONG,A,1 October 2024,
Nepean Highway,EDITHVALE,A,1 October 2024,
Nepean Highway,EDITHVALE,A,1 October 2024,
Dalton Road,EPPING,A,1 October 2024,
Midland Highway,EPSOM,A,1 October 2024,
Bulla Road,ESSENDON NORTH,A,1 October 2024,
Moreland Street,FOOTSCRAY,A,1 October 2024,
Frankston-Dandenong Road,FRANKSTON NORTH,A,1 October 2024,
Frankston-Flinders Road,FRANKSTON SOUTH,A,1 October 2024,
Lincoln Causeway,GATEWAY ISLAND,"A,C",1 October 2024,
Melton Road,GISBORNE,A,1 October 2024,
High Street Road,GLEN WAVERLEY,A,1 October 2024,
Specimen Hill Road,GOLDEN SQUARE,A,1 October 2024,
Oaklands Road,GREENVALE,A,1 October 2024,
Pound Road,HAMPTON PARK,"A,C",1 October 2024,
Warrigal Road,HEATHERTON,A,1 October 2024,
